sampleOrder,Label
1,PT-339O-S1D1-FMV1
2,PT-339O-S1D1-2
3,PT-339O-S1D1-4
4,PT-339O-S1D1-6
5,PT-339O-S1D1-8
6,PT-339O-S1D1-10
7,PT-339O-S1D1-12
8,PT-339O-S1D1-BT
9,PT-339O-S1D2-FMV2
10,PT-105W-S1D1-FMV1
11,PT-105W-S1D1-2
12,PT-105W-S1D1-4
13,PT-105W-S1D1-6
14,PT-105W-S1D1-8
15,PT-105W-S1D1-10
16,PT-105W-S1D1-12
17,PT-105W-S1D1-BT
18,PT-105W-S1D2-FMV2
19,PT-239O-S1D1-FMV1
20,PT-239O-S1D1-2
21,PT-239O-S1D1-4
22,PT-239O-S1D1-6
23,PT-239O-S1D1-8
24,PT-239O-S1D1-10
25,PT-239O-S1D1-12
26,PT-239O-S1D1-14
27,PT-239O-S1D1-BT
28,PT-239O-S1D2-FMV2
29,PT-397R-S1D1-FMV1
30,PT-397R-S1D1-2
31,PT-397R-S1D1-4
32,PT-397R-S1D1-6
33,PT-397R-S1D1-8
34,PT-397R-S1D1-10
35,PT-397R-S1D1-12
36,PT-397R-S1D1-14
37,PT-397R-S1D1-BT
38,PT-397R-S1D2-FMV2
39,PT-983H-S1D1-FMV1
40,PT-983H-S1D1-2
41,PT-983H-S1D1-4
42,PT-983H-S1D1-6
43,PT-983H-S1D1-8
44,PT-983H-S1D1-10
45,PT-983H-S1D1-12
46,PT-983H-S1D1-BT
47,PT-983H-S1D2-FMV2
48,PT-130A-S1D1-FMV1
49,PT-130A-S1D1-2
50,PT-130A-S1D1-4
51,PT-130A-S1D1-6
52,PT-130A-S1D1-8
53,PT-130A-S1D1-10
54,PT-130A-S1D1-12
55,PT-130A-S1D1-14
56,PT-130A-S1D1-BT
57,PT-130A-S1D2-FMV2
58,PT-161H-S1D1-FMV1
59,PT-161H-S1D1-2
60,PT-161H-S1D1-4
61,PT-161H-S1D1-6
62,PT-161H-S1D1-8
63,PT-161H-S1D1-10
64,PT-161H-S1D1-12
65,PT-161H-S1D1-14
66,PT-161H-S1D1-BT
67,PT-161H-S1D2-FMV2
68,PT-295U-S1D1-FMV1
69,PT-295U-S1D1-2
70,PT-295U-S1D1-4
71,PT-295U-S1D1-6
72,PT-295U-S1D1-8
73,PT-295U-S1D1-10
74,PT-295U-S1D1-12
75,PT-295U-S1D1-BT
76,PT-295U-S1D2-FMV2
77,PT-297A-S1D1-FMV1
78,PT-297A-S1D1-2
79,PT-297A-S1D1-4
80,PT-297A-S1D1-6
81,PT-297A-S1D1-8
82,PT-297A-S1D1-10
83,PT-297A-S1D1-12
84,PT-297A-S1D1-14
85,PT-297A-S1D2-FMV2
86,PT-611V-S1D1-FMV1
87,PT-611V-S1D1-2
88,PT-611V-S1D1-4
89,PT-611V-S1D1-6
90,PT-611V-S1D1-8
91,PT-611V-S1D1-10
92,PT-611V-S1D1-12
93,PT-611V-S1D1-14
94,PT-611V-S1D2-FMV2
95,PT-966T-S1D1-FMV1
96,PT-966T-S1D1-2
97,PT-966T-S1D1-4
98,PT-966T-S1D1-6
99,PT-966T-S1D1-8
100,PT-966T-S1D1-10
101,PT-966T-S1D1-12
102,PT-966T-S1D1-14
103,PT-966T-S1D1-BT
104,PT-966T-S1D2-FMV2
105,PT-105W-S2D1-FMV1
106,PT-105W-S2D1-2
107,PT-105W-S2D1-4
108,PT-105W-S2D1-6
109,PT-105W-S2D1-8
110,PT-105W-S2D1-10
111,PT-105W-S2D1-12
112,PT-105W-S2D1-BT
113,PT-105W-S2D2-FMV2
114,PT-239O-S2D1-FMV1
115,PT-239O-S2D1-2
116,PT-239O-S2D1-4
117,PT-239O-S2D1-6
118,PT-239O-S2D1-8
119,PT-239O-S2D1-10
120,PT-239O-S2D1-12
121,PT-239O-S2D1-14
